Borough,Sector,2011 Numbers,2021 Numbers,2021 Percentage
Barking and Dagenham,Primary & Utilities,700,800,1.38
Barking and Dagenham,Manufacturing,7000,4500,7.76
Barking and Dagenham,Construction,2500,4000,6.90
Barking and Dagenham,Wholesale,4500,5000,8.62
Barking and Dagenham,Retail,4000,6000,10.34
Barking and Dagenham,Transportation and Storage,4000,6000,10.34
Barking and Dagenham,Accomodation and food service activities,1750,3000,5.17
Barking and Dagenham,Information and Communication,800,1000,1.72
Barking and Dagenham,Financial and insurance activities,800,400,0.69
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",1750,3000,5.17
Barking and Dagenham,Administrative and support service activities,5000,7000,12.07
Barking and Dagenham,Public Admin and defence,3000,2500,4.31
Barking and Dagenham,Education,5000,7000,12.07
Barking and Dagenham,Health,4000,6000,10.34
Barking and Dagenham,"Arts, entertainment and recreation",1500,900,1.55
Barking and Dagenham,Other services,900,900,1.55
Barnet,Primary & Utilities,500,600,0.45
Barnet,Manufacturing,3000,2500,1.89
Barnet,Construction,6000,8000,6.03
Barnet,Wholesale,6000,6000,4.52
Barnet,Retail,16000,17000,12.82
Barnet,Transportation and Storage,3000,4000,3.02
Barnet,Accomodation and food service activities,8000,9000,6.79
Barnet,Information and Communication,5000,6000,4.52
Barnet,Financial and insurance activities,2000,2500,1.89
Barnet,"Professional, Real Estate, Scientific and technical activities",13000,18000,13.57
Barnet,Administrative and support service activities,8000,11000,8.30
Barnet,Public Admin and defence,6000,4000,3.02
Barnet,Education,14000,15000,11.31
Barnet,Health,16000,22000,16.59
Barnet,"Arts, entertainment and recreation",3000,3000,2.26
Barnet,Other services,3500,4000,3.02
Bexley,Primary & Utilities,1750,1000,1.35
Bexley,Manufacturing,5000,4500,6.09
Bexley,Construction,4000,6000,8.11
Bexley,Wholesale,5000,5000,6.76
Bexley,Retail,8000,9000,12.17
Bexley,Transportation and Storage,4000,5000,6.76
Bexley,Accomodation and food service activities,3500,4500,6.09
Bexley,Information and Communication,2000,2000,2.70
Bexley,Financial and insurance activities,900,700,0.95
Bexley,"Professional, Real Estate, Scientific and technical activities",3500,6000,8.11
Bexley,Administrative and support service activities,7000,9000,12.17
Bexley,Public Admin and defence,3000,3500,4.73
Bexley,Education,7000,7000,9.47
Bexley,Health,8000,8000,10.82
Bexley,"Arts, entertainment and recreation",1250,1250,1.69
Bexley,Other services,1250,1500,2.03
Brent,Primary & Utilities,1750,1250,1.06
Brent,Manufacturing,7000,8000,6.79
