Borough,Sector,2021
Greenwich,Accomodation and food service activities,"8,000"
Greenwich,Information and Communication,"3,000"
Greenwich,Financial and insurance activities,500
Greenwich,"Professional, Real Estate, Scientific and technical activities","5,000"
Greenwich,Administrative and support service activities,"7,000"
Greenwich,Public Admin and defence,"5,000"
Greenwich,Education,"11,000"
Greenwich,Health,"15,000"
Greenwich,"Arts, entertainment and recreation","3,500"
Greenwich,Other services,"2,250"
Hackney,Primary & Utilities,700
Hackney,Manufacturing,"2,500"
Hackney,Construction,"4,000"
Hackney,Wholesale,"3,500"
Hackney,Retail,"12,000"
Hackney,Transportation and Storage,"4,000"
Hackney,Accomodation and food service activities,"11,000"
Hackney,Information and Communication,"18,000"
Hackney,Financial and insurance activities,"6,000"
Hackney,"Professional, Real Estate, Scientific and technical activities","32,000"
Hackney,Administrative and support service activities,"8,000"
Hackney,Public Admin and defence,"6,000"
Hackney,Education,"12,000"
Hackney,Health,"15,000"
Hackney,"Arts, entertainment and recreation","4,500"
Hackney,Other services,"3,000"
Hammersmith and Fulham,Primary & Utilities,500
Hammersmith and Fulham,Manufacturing,"2,000"
Hammersmith and Fulham,Construction,"2,500"
Hammersmith and Fulham,Wholesale,"12,000"
Hammersmith and Fulham,Retail,"15,000"
Hammersmith and Fulham,Transportation and Storage,"3,000"
Hammersmith and Fulham,Accomodation and food service activities,"11,000"
Hammersmith and Fulham,Information and Communication,"20,000"
Hammersmith and Fulham,Financial and insurance activities,"2,250"
Hammersmith and Fulham,"Professional, Real Estate, Scientific and technical activities","21,000"
Hammersmith and Fulham,Administrative and support service activities,"13,000"
Hammersmith and Fulham,Public Admin and defence,"6,000"
Hammersmith and Fulham,Education,"7,000"
Hammersmith and Fulham,Health,"18,000"
Hammersmith and Fulham,"Arts, entertainment and recreation","6,000"
Hammersmith and Fulham,Other services,"2,500"
Haringey,Primary & Utilities,400
Haringey,Manufacturing,"3,000"
Haringey,Construction,"3,500"
Haringey,Wholesale,"4,500"
Haringey,Retail,"10,000"
Haringey,Transportation and Storage,"4,500"
Haringey,Accomodation and food service activities,"7,000"
Haringey,Information and Communication,"2,500"
Haringey,Financial and insurance activities,700
Haringey,"Professional, Real Estate, Scientific and technical activities","8,000"
Haringey,Administrative and support service activities,"4,000"
Haringey,Public Admin and defence,"3,500"
Haringey,Education,"7,000"
Haringey,Health,"9,000"
Haringey,"Arts, entertainment and recreation","2,500"
Haringey,Other services,"2,000"
Harrow,Primary & Utilities,500
Harrow,Manufacturing,"1,750"
Harrow,Construction,"6,000"
Harrow,Wholesale,"3,500"
Harrow,Retail,"7,000"
Harrow,Transportation and Storage,"2,250"
Harrow,Accomodation and food service activities,"5,000"
Harrow,Information and Communication,"4,000"
Harrow,Financial and insurance activities,"1,250"
Harrow,"Professional, Real Estate, Scientific and technical activities","11,000"
Harrow,Administrative and support service activities,"5,000"
Harrow,Public Admin and defence,"2,250"
Harrow,Education,"8,000"
Harrow,Health,"10,000"
Harrow,"Arts, entertainment and recreation","1,750"
Harrow,Other services,"1,750"
Havering,Primary & Utilities,800
Havering,Manufacturing,"2,500"
Havering,Construction,"8,000"
Havering,Wholesale,"5,000"
Havering,Retail,"9,000"
Havering,Transportation and Storage,"6,000"
Havering,Accomodation and food service activities,"5,000"
Havering,Information and Communication,"1,750"
Havering,Financial and insurance activities,"1,750"
Havering,"Professional, Real Estate, Scientific and technical activities","5,000"
Havering,Administrative and support service activities,"10,000"
Havering,Public Admin and defence,"3,000"
Havering,Education,"7,000"
Havering,Health,"18,000"
Havering,"Arts, entertainment and recreation","2,000"
Havering,Other services,"1,500"
Hillingdon,Primary & Utilities,"1,250"
Hillingdon,Manufacturing,"7,000"
Hillingdon,Construction,"7,000"
Hillingdon,Wholesale,"11,000"
Hillingdon,Retail,"14,000"
Hillingdon,Transportation and Storage,"31,000"
Hillingdon,Accomodation and food service activities,"16,000"
Hillingdon,Information and Communication,"7,000"
Hillingdon,Financial and insurance activities,"2,500"
Hillingdon,"Professional, Real Estate, Scientific and technical activities","15,000"
Hillingdon,Administrative and support service activities,"27,000"
Hillingdon,Public Admin and defence,"7,000"
Hillingdon,Education,"13,000"
Hillingdon,Health,"16,000"
Hillingdon,"Arts, entertainment and recreation","1,750"
Hillingdon,Other services,"2,250"
Hounslow,Primary & Utilities,"1,250"
Hounslow,Manufacturing,"3,000"
Hounslow,Construction,"4,500"
Hounslow,Wholesale,"11,000"
Hounslow,Retail,"11,000"
Hounslow,Transportation and Storage,"40,000"
Hounslow,Accomodation and food service activities,"9,000"
Hounslow,Information and Communication,"20,000"
Hounslow,Financial and insurance activities,"2,000"
Hounslow,"Professional, Real Estate, Scientific and technical activities","13,000"
Hounslow,Administrative and support service activities,"12,000"
Hounslow,Public Admin and defence,"3,500"
