ward name,borough,Usual residents aged 3+,Main language is English,Main language is English percentage,Language not English: Speak English very well,Language not English: Speak English well,Language not English: Cannot speak English well,Language not English: Cannot speak English
Streatham Common & Vale,Lambeth,16721,12663,76,1524,1473,949,112
Streatham Hill East,Lambeth,9895,8019,81,883,591,322,80
Streatham Hill West & Thornton,Lambeth,10234,8871,87,727,420,178,38
Streatham St Leonard's,Lambeth,15431,11929,77,1436,1232,730,104
Streatham Wells,Lambeth,9531,7673,81,866,668,282,42
Vauxhall,Lambeth,9411,7050,75,1359,727,245,30
Waterloo & South Bank,Lambeth,8733,6602,76,1254,630,207,40
West Dulwich,Lambeth,11088,9936,90,561,340,209,42
Bellingham,Lewisham,11264,9353,83,819,694,355,43
Blackheath,Lewisham,15655,13351,85,1245,627,356,76
Brockley,Lewisham,17346,14713,85,1445,733,381,74
Catford South,Lewisham,16570,13960,84,1047,1031,444,88
Crofton Park,Lewisham,14786,13246,90,774,482,244,40
Deptford,Lewisham,15884,12370,78,1565,1017,750,182
Downham,Lewisham,18090,15047,83,1240,1120,569,114
Evelyn,Lewisham,14483,10854,75,1950,1077,533,69
Forest Hill,Lewisham,14603,12862,88,906,492,298,45
Grove Park,Lewisham,14980,12772,85,978,788,362,80
Hither Green,Lewisham,19341,16158,84,1392,1134,557,100
Ladywell,Lewisham,14687,12649,86,1001,628,351,58
Lee Green,Lewisham,14329,12274,86,1033,674,295,53
Lewisham Central,Lewisham,8046,5794,72,1272,642,282,56
New Cross Gate,Lewisham,10514,8237,78,893,851,468,65
Perry Vale,Lewisham,17502,15512,89,995,630,320,45
Rushey Green,Lewisham,17879,14360,80,1460,1335,603,121
Sydenham,Lewisham,16608,14558,88,991,678,329,52
Telegraph Hill,Lewisham,16357,13941,85,1073,740,521,82
Abbey,Merton,9792,7812,80,1103,644,219,14
Cannon Hill,Merton,9604,7987,83,817,541,224,35
Colliers Wood,Merton,11106,8420,76,1250,914,450,72
Cricket Green,Merton,11584,8615,74,1161,1181,558,69
Figge's Marsh,Merton,10682,7662,72,1121,1295,543,61
Graveney,Merton,11329,7819,69,1275,1462,692,81
Hillside,Merton,8239,6684,81,998,392,146,19
Lavender Fields,Merton,11169,7840,70,1444,1254,564,67
Longthornton,Merton,11371,8259,73,1261,1219,539,93
Lower Morden,Merton,11065,9438,85,744,628,214,41
Merton Park,Merton,8055,6494,81,753,513,259,36
Pollards Hill,Merton,11464,9087,79,1005,932,385,55
Ravensbury,Merton,9122,6876,75,1006,834,344,62
Raynes Park,Merton,11739,9822,84,1108,531,242,36
St Helier,Merton,10715,7774,73,1225,1131,496,89
Village,Merton,11205,9861,88,813,380,138,13
Wandle,Merton,5986,4909,82,586,338,133,20
West Barnes,Merton,10090,8152,81,932,680,289,37
Wimbledon Park,Merton,10567,8995,85,960,451,135,26
Wimbledon Town & Dundonald,Merton,12129,10074,83,1319,551,160,25
Beckton,Newham,14752,9718,66,1914,1993,990,137
Boleyn,Newham,14905,9680,65,1770,2194,1130,131
Canning Town North,Newham,10274,7199,70,1289,1145,559,82
Canning Town South,Newham,6855,4852,71,1056,646,255,46
Custom House,Newham,17052,12033,71,1848,2056,974,141
East Ham,Newham,14400,8456,59,1967,2388,1407,182
East Ham South,Newham,17347,11719,68,1970,2333,1163,162
Forest Gate North,Newham,10321,7362,71,991,1166,693,109
Forest Gate South,Newham,16688,10940,66,1986,2200,1325,237
Green Street East,Newham,15929,8959,56,2296,2883,1566,225
Green Street West,Newham,15019,8732,58,2118,2546,1375,248
Little Ilford,Newham,17317,10878,63,2069,2656,1477,237
Manor Park,Newham,15088,9328,62,1777,2401,1348,234
Maryland,Newham,12276,8079,66,1558,1660,876,103
Plaistow North,Newham,16881,11041,65,1991,2334,1307,208
Plaistow South,Newham,12930,8603,67,1508,1752,966,101
Plaistow West & Canning Town East,Newham,16226,10918,67,1819,2202,1096,191
Plashet,Newham,11078,6500,59,1580,1771,1076,151
Royal Albert,Newham,9670,6992,72,1218,986,409,65
Royal Victoria,Newham,13832,10020,72,2475,1034,270,33
Stratford,Newham,15221,10383,68,2408,1692,614,124
Stratford Olympic Park,Newham,11464,8815,77,1658,768,201,22
Wall End,Newham,15982,8731,55,2501,2928,1583,239
West Ham,Newham,15134,10102,67,1743,2093,1082,114
Aldborough,Redbridge,14983,10266,69,2186,1748,690,93
Barkingside,Redbridge,14660,10347,71,1902,1685,639,87
Bridge,Redbridge,12881,10954,85,871,728,296,32
Chadwell,Redbridge,15897,12022,76,1706,1446,624,99
Churchfields,Redbridge,15069,12799,85,1131,782,314,43
Clayhall,Redbridge,13416,9790,73,1609,1363,562,92
Clementswood,Redbridge,13150,8222,63,1709,2007,1052,160
Cranbrook,Redbridge,12765,9229,72,1423,1341,671,101
Fairlop,Redbridge,14144,10466,74,1462,1508,645,63
Fullwell,Redbridge,15427,11953,77,1459,1333,591,91
Goodmayes,Redbridge,14446,9485,66,1859,1998,979,125
Hainault,Redbridge,14983,11743,78,1289,1275,595,81
Ilford Town,Redbridge,11388,6890,61,1994,1593,800,111
Loxford,Redbridge,14300,9143,64,1854,2084,1060,159
Mayfield,Redbridge,15350,11053,72,1731,1669,765,132
Monkhams,Redbridge,9292,8237,89,558,326,151,20
Newbury,Redbridge,13771,9055,66,2016,1823,753,124
Seven Kings,Redbridge,14484,9470,65,1956,1968,951,139
South Woodford,Redbridge,12021,10196,85,901,606,272,46
Valentines,Redbridge,14787,9745,66,2042,1895,955,150
Wanstead Park,Redbridge,7834,6885,88,468,319,148,14
Wanstead Village,Redbridge,12544,10939,87,849,537,197,22
Barnes,Richmond upon Thames,10186,8998,88,844,255,81,8
East Sheen,Richmond upon Thames,10279,9223,90,672,260,105,19
Fulwell & Hampton Hill,Richmond upon Thames,10384,9606,93,472,222,73,11
"Ham, Petersham & Richmond Riverside",Richmond upon Thames,10495,8796,84,1071,426,178,24
Hampton,Richmond upon Thames,9689,8993,93,455,172,61,8
Hampton North,Richmond upon Thames,9719,8718,90,493,334,140,34
Hampton Wick & South Teddington,Richmond upon Thames,10462,9541,91,585,235,86,15
Heathfield,Richmond upon Thames,10082,8319,83,843,585,277,58
Kew,Richmond upon Thames,11397,9901,87,998,376,107,15
Mortlake & Barnes Common,Richmond upon Thames,11250,10033,89,796,296,107,18
North Richmond,Richmond upon Thames,10442,9051,87,906,355,109,21
St Margarets & North Twickenham,Richmond upon Thames,11210,10051,90,756,298,90,15
South Richmond,Richmond upon Thames,10733,9266,86,1023,341,91,12
South Twickenham,Richmond upon Thames,10524,9736,93,503,201,79,5
Teddington,Richmond upon Thames,10210,9375,92,514,226,82,13
Twickenham Riverside,Richmond upon Thames,10938,9451,86,987,358,119,23
West Twickenham,Richmond upon Thames,10730,9677,90,598,337,97,21
Whitton,Richmond upon Thames,10129,8789,87,676,438,201,25
Borough & Bankside,Southwark,9137,7259,79,1205,505,136,32
Camberwell Green,Southwark,14777,11809,80,1218,990,644,116
Champion Hill,Southwark,9116,7822,86,650,412,196,36
Chaucer,Southwark,14609,11384,78,1851,862,426,86
Dulwich Hill,Southwark,9300,8393,90,458,252,165,32
Dulwich Village,Southwark,9785,9161,94,409,136,70,9
Dulwich Wood,Southwark,9919,8667,87,697,397,135,23
Faraday,Southwark,12051,9054,75,1133,992,734,138
Goose Green,Southwark,13122,11993,91,707,246,157,19
London Bridge & West Bermondsey,Southwark,14483,11717,81,1753,679,275,59
Newington,Southwark,13481,11038,82,1116,827,418,82
North Bermondsey,Southwark,15092,12226,81,1805,713,297,51
North Walworth,Southwark,15256,11545,76,1857,1212,558,84
Nunhead & Queen's Road,Southwark,15027,13164,88,810,586,388,79
Old Kent Road,Southwark,17953,13683,76,1499,1512,1029,230
Peckham,Southwark,14302,11619,81,1006,946,621,110
Peckham Rye,Southwark,9689,8850,91,425,256,129,29
Rotherhithe,Southwark,14904,11489,77,2119,881,368,47
Rye Lane,Southwark,13752,12012,87,791,522,352,75
St George's,Southwark,7974,6283,79,938,524,201,28
St Giles,Southwark,15921,12928,81,1271,1049,572,101
South Bermondsey,Southwark,15422,12141,79,1666,979,533,103
Surrey Docks,Southwark,12669,9753,77,2085,593,199,39
Beddington,Sutton,10655,9321,87,707,443,156,28
Belmont,Sutton,11145,9409,84,1025,483,201,27
Carshalton Central,Sutton,11242,10158,90,627,328,116,13
Carshalton South & Clockhouse,Sutton,9824,9087,92,454,194,74,15
Cheam,Sutton,10543,9585,91,554,298,95,11
Hackbridge,Sutton,6423,5312,83,595,399,106,11
North Cheam,Sutton,11294,9858,87,785,477,153,21
St Helier East,Sutton,8163,6941,85,572,444,176,30
St Helier West,Sutton,11845,9756,82,936,835,268,50
South Beddington & Roundshaw,Sutton,10502,9172,87,713,428,159,30
Stonecot,Sutton,7556,6369,84,616,409,141,21
Sutton Central,Sutton,11780,8921,76,1375,1058,390,36
Sutton North,Sutton,10937,9045,83,1004,605,244,39
Sutton South,Sutton,11711,9251,79,1373,805,249,33
Sutton West & East Cheam,Sutton,11084,9097,82,1052,689,215,31
The Wrythe,Sutton,10286,9180,89,582,386,118,20
Wallington North,Sutton,11498,10143,88,737,434,161,23
Wallington South,Sutton,10847,9540,88,685,446,142,34
Worcester Park North,Sutton,7970,6898,87,572,356,130,14
Worcester Park South,Sutton,6944,6335,91,307,203,85,14
Bethnal Green,Tower Hamlets,20437,15413,75,2091,1625,1111,197
Blackwall & Cubitt Town,Tower Hamlets,21096,15081,71,3728,1571,620,96
Bow East,Tower Hamlets,18814,15425,82,1741,988,586,74
Bow West,Tower Hamlets,13182,10728,81,1043,767,549,95
Bromley North,Tower Hamlets,10957,8164,75,956,1011,660,166
Bromley South,Tower Hamlets,13684,10075,74,1438,1126,886,159
Canary Wharf,Tower Hamlets,17237,11721,68,3370,1435,607,104
Island Gardens,Tower Hamlets,14254,10306,72,2269,1114,484,81
Lansbury,Tower Hamlets,20830,14934,72,2527,1955,1170,244
Limehouse,Tower Hamlets,6511,4807,74,990,407,244,63
Mile End,Tower Hamlets,20891,15189,73,2493,1798,1208,203
Poplar,Tower Hamlets,7621,5301,70,893,826,495,106
St Dunstan's,Tower Hamlets,13778,9924,72,1355,1307,947,245
St Katharine's & Wapping,Tower Hamlets,11643,9097,78,1660,582,263,41
St Peter's,Tower Hamlets,19365,14309,74,2033,1624,1188,211
Shadwell,Tower Hamlets,12469,8498,68,1289,1432,1033,217
Spitalfields & Banglatown,Tower Hamlets,12818,8741,68,1863,1166,828,220
Stepney Green,Tower Hamlets,11979,8424,70,1128,1281,946,200
Weavers,Tower Hamlets,12872,9796,76,1487,833,631,125
Whitechapel,Tower Hamlets,18309,12202,67,2914,1838,1103,252
Cann Hall,Waltham Forest,15383,10977,71,1459,1945,865,137
Cathall,Waltham Forest,10133,7218,71,1061,1231,550,73
Chapel End,Waltham Forest,13431,10534,78,1111,1238,478,70
Chingford Green,Waltham Forest,11178,10094,90,483,392,177,32
Endlebury,Waltham Forest,8634,7675,89,400,381,157,21
Forest,Waltham Forest,15799,11919,75,1386,1516,863,115
Grove Green,Waltham Forest,14099,9881,70,1560,1730,783,145
Hale End & Highams Park South,Waltham Forest,9052,7854,87,570,419,177,32
Hatch Lane & Highams Park North,Waltham Forest,12731,11282,89,630,542,239,38
High Street,Waltham Forest,10291,7490,73,1093,1147,487,74
Higham Hill,Waltham Forest,13537,10432,77,1251,1184,584,86
Hoe Street,Waltham Forest,13604,10466,77,1171,1239,629,99
Larkswood,Waltham Forest,12850,10594,82,823,918,460,55
Lea Bridge,Waltham Forest,14451,10095,70,1547,1657,998,154
Leyton,Waltham Forest,13179,9643,73,1321,1406,708,101
Leytonstone,Waltham Forest,11860,9224,78,1178,983,419,56
Markhouse,Waltham Forest,9656,7020,73,868,1102,603,63
St James,Waltham Forest,11963,9145,76,1150,1065,530,73
Upper Walthamstow,Waltham Forest,8069,6627,82,547,619,239,37
Valley,Waltham Forest,13807,11198,81,893,1135,508,73
William Morris,Waltham Forest,13919,10378,75,1329,1504,616,92
Wood Street,Waltham Forest,9026,7124,79,751,709,379,63
Balham,Wandsworth,16870,15086,89,1136,442,176,30
Battersea Park,Wandsworth,18336,14150,77,2519,1182,423,62
East Putney,Wandsworth,16650,13608,82,1919,776,287,60
Falconbrook,Wandsworth,11611,8797,76,1477,978,300,59
Furzedown,Wandsworth,17096,13710,80,1496,1196,550,144
Lavender,Wandsworth,12173,10625,87,1166,283,80,19
Nine Elms,Wandsworth,5216,3826,73,1006,286,91,7
Northcote,Wandsworth,12764,11260,88,1127,282,81,14
Roehampton,Wandsworth,18499,13718,74,2128,1755,781,117
St Mary's,Wandsworth,13791,11088,80,1769,716,201,17
Shaftesbury & Queenstown,Wandsworth,15258,12813,84,1346,744,307,48
South Balham,Wandsworth,9792,8800,90,531,297,149,15
Southfields,Wandsworth,11862,10349,87,986,355,144,28
Thamesfield,Wandsworth,15786,13830,88,1391,408,133,24
Tooting Bec,Wandsworth,16440,13658,83,1295,947,468,72
Tooting Broadway,Wandsworth,16701,13204,79,1485,1303,598,111
Trinity,Wandsworth,10561,9573,91,578,292,95,23
Wandle,Wandsworth,10410,8934,86,830,463,156,27
Wandsworth Common,Wandsworth,15874,14066,89,1083,526,178,21
Wandsworth Town,Wandsworth,17452,14919,85,1551,687,260,35
West Hill,Wandsworth,16262,12159,75,2160,1353,521,69
West Putney,Wandsworth,16434,13580,83,1664,841,305,44
Abbey Road,Westminster,12652,9565,76,1776,865,392,54
Bayswater,Westminster,11779,8732,74,2015,764,233,35
Church Street,Westminster,11276,7555,67,1469,1292,791,169
Harrow Road,Westminster,10850,8312,77,1280,802,395,61
Hyde Park,Westminster,9876,6600,67,1967,902,364,43
Knightsbridge & Belgravia,Westminster,10933,8070,74,1706,861,250,46
Lancaster Gate,Westminster,10997,7474,68,2223,961,295,44
Little Venice,Westminster,10048,7448,74,1510,651,368,71
Maida Vale,Westminster,11293,8366,74,1755,776,342,54
Marylebone,Westminster,12129,8740,72,2423,703,240,23
Pimlico North,Westminster,10106,7991,79,1335,554,198,28
Pimlico South,Westminster,10345,7859,76,1272,836,308,70
Queen's Park,Westminster,12351,9579,78,1148,1041,514,69
Regent's Park,Westminster,11562,8630,75,1887,756,262,27
St James's,Westminster,9887,7370,75,1514,698,272,33
Vincent Square,Westminster,10377,7798,75,1543,696,305,35
West End,Westminster,11047,7906,72,2110,699,290,42
Westbourne,Westminster,11535,8401,73,1492,1068,491,83
