Borough,Sector,2011 Numbers,2021 Numbers
Newham,Health,"9,000","11,000"
Newham,"Arts, entertainment and recreation","2,500","2,250"
Newham,Other services,"2,250","3,500"
Redbridge,Primary & Utilities,200,450
Redbridge,Manufacturing,"2,000","1,250"
Redbridge,Construction,"2,500","6,000"
Redbridge,Wholesale,"3,000","3,500"
Redbridge,Retail,"8,000","9,000"
Redbridge,Transportation and Storage,"3,000","3,000"
Redbridge,Accomodation and food service activities,"3,500","5,000"
Redbridge,Information and Communication,"3,000","3,000"
Redbridge,Financial and insurance activities,"1,250","1,250"
Redbridge,"Professional, Real Estate, Scientific and technical activities","4,500","8,000"
Redbridge,Administrative and support service activities,"7,000","9,000"
Redbridge,Public Admin and defence,"5,000","5,000"
Redbridge,Education,"9,000","9,000"
Redbridge,Health,"11,000","14,000"
Redbridge,"Arts, entertainment and recreation","1,500","2,000"
Redbridge,Other services,"1,750","2,000"
Richmond upon Thames,Primary & Utilities,500,350
Richmond upon Thames,Manufacturing,"1,500","1,000"
Richmond upon Thames,Construction,"2,500","2,500"
Richmond upon Thames,Wholesale,"2,500","3,000"
Richmond upon Thames,Retail,"7,000","7,000"
Richmond upon Thames,Transportation and Storage,"1,750","2,000"
Richmond upon Thames,Accomodation and food service activities,"6,000","7,000"
Richmond upon Thames,Information and Communication,"6,000","6,000"
Richmond upon Thames,Financial and insurance activities,"1,500","1,500"
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities","13,000","14,000"
Richmond upon Thames,Administrative and support service activities,"7,000","6,000"
Richmond upon Thames,Public Admin and defence,"2,000","1,750"
Richmond upon Thames,Education,"8,000","9,000"
Richmond upon Thames,Health,"7,000","9,000"
Richmond upon Thames,"Arts, entertainment and recreation","4,500","6,000"
Richmond upon Thames,Other services,"2,000","2,250"
Southwark,Primary & Utilities,"1,250","1,750"
Southwark,Manufacturing,"2,000","2,500"
Southwark,Construction,"6,000","4,000"
Southwark,Wholesale,"4,500","4,500"
Southwark,Retail,"9,000","13,000"
Southwark,Transportation and Storage,"7,000","12,000"
Southwark,Accomodation and food service activities,"10,000","16,000"
Southwark,Information and Communication,"16,000","24,000"
Southwark,Financial and insurance activities,"9,000","7,000"
Southwark,"Professional, Real Estate, Scientific and technical activities","38,000","61,000"
Southwark,Administrative and support service activities,"25,000","28,000"
Southwark,Public Admin and defence,"13,000","17,000"
Southwark,Education,"15,000","17,000"
Southwark,Health,"21,000","26,000"
Southwark,"Arts, entertainment and recreation","3,500","6,000"
Southwark,Other services,"7,000","7,000"
Sutton,Primary & Utilities,350,350
Sutton,Manufacturing,"1,750","1,500"
